site,year,id,species,basal.area.cm2,x,y,notes
McGilvra Woods,2019,2053,Acer saccharum,592.6683391,30.3,70.5,
McGilvra Woods,2019,2054,Acer saccharum,798.9609974,25.5,70.5,
McGilvra Woods,2019,2055,Prunus serotina,2510.013509,29.6,74.2,
McGilvra Woods,2019,2056,Acer saccharum,400.0208297,27.4,76,
McGilvra Woods,2019,2057,Acer saccharum,11.26896575,24.1,75.8,
McGilvra Woods,2019,2058,Acer saccharum,261.2759166,23.3,76,
McGilvra Woods,2019,2059,Acer saccharum,959.3891801,24,80.1,
McGilvra Woods,2019,2060,Acer saccharum,784.6728624,24.5,82.3,
McGilvra Woods,2019,2061,Acer saccharum,105.4369667,31.9,76.6,
McGilvra Woods,2019,2062,Acer saccharum,50.93674376,31.5,79.4,
McGilvra Woods,2019,2063,Acer saccharum,442.8613615,33,84.1,
McGilvra Woods,2019,2064,Acer saccharum,673.5437192,18.7,88.2,
McGilvra Woods,2019,2065,Acer saccharum,616.2479397,22.7,91.9,
McGilvra Woods,2019,2066,Acer saccharum,1104.28384,12,91.6,Base of trunk damaged and rotting
McGilvra Woods,2019,2067,Acer saccharum,568.2030412,13.2,91.2,
McGilvra Woods,2019,2068,Acer saccharum,709.1434968,14.7,92.4,
McGilvra Woods,2019,2069,Acer saccharum,516.9639031,9.3,94,
McGilvra Woods,2019,2070,Acer saccharum,583.0927819,9.8,94.9,
McGilvra Woods,2019,2071,Fraxinus americana,1828.894014,10.8,95.5,
McGilvra Woods,2019,2072,Acer saccharum,1087.474691,7.9,100,
McGilvra Woods,2019,2073,Acer saccharum,724.2473009,16.4,99.4,
McGilvra Woods,2019,2074,Acer saccharum,1026.944087,19.8,96.3,
McGilvra Woods,2019,2075,Tilia americana,8187.883611,25.3,99.1,Western stem
McGilvra Woods,2019,2076,Acer saccharum,1083.033472,30.5,95.2,
McGilvra Woods,2019,2078,Quercus rubra,2939.658644,34.8,101.5,
McGilvra Woods,2019,2079,Acer saccharum,82.5091056,47.3,100,
McGilvra Woods,2019,2080,Acer saccharum,240.7218514,47.3,99.9,
McGilvra Woods,2019,2081,Acer saccharum,35.09366495,49.6,93.3,
McGilvra Woods,2019,2082,Prunus serotina,1273.418594,48.6,90.8,
McGilvra Woods,2019,2083,Acer saccharum,22.72812165,44.8,97.3,
McGilvra Woods,2019,2084,Acer saccharum,2441.24982,41.15,89.15,
McGilvra Woods,2019,2085,Acer saccharum,143.0611952,35.9,87.1,
McGilvra Woods,2019,2086,Tilia americana,4982.574677,34,93.7,
McGilvra Woods,2019,2087,Ulmus americana,1039.639081,35.7,92,
McGilvra Woods,2019,2088,Carya cordiformis,456.0179049,36.8,83.9,
McGilvra Woods,2019,2089,Acer saccharum,222.6903921,45.2,83.2,
McGilvra Woods,2019,2090,Acer saccharum,900.8933723,45.9,76.4,
McGilvra Woods,2019,2091,Acer saccharum,1539.729377,44.1,77.5,
McGilvra Woods,2019,2092,Acer saccharum,1643.250118,41.3,77.9,
McGilvra Woods,2019,2093,Acer saccharum,1700.923891,43.2,75.2,
McGilvra Woods,2019,2096,Acer saccharum,464.4905183,40.8,70.3,
McGilvra Woods,2019,2249,Tilia americana,938.5335163,50.6,79.7,
McGilvra Woods,2019,2349,Tilia americana,404.5471963,8.4,75.4,
McGilvra Woods,2019,2359,Acer saccharum,124.7902078,91.1,70.6,
McGilvra Woods,2019,2360,Prunus serotina,1561.947407,93.9,72.5,
McGilvra Woods,2019,2361,Acer saccharum,1247.38005,100,74.5,
McGilvra Woods,2019,2363,Acer saccharum,585.1944229,90.3,76.2,2 stems
McGilvra Woods,2019,2364,Acer saccharum,147.1387449,84.2,71.6,
McGilvra Woods,2019,2365,Acer saccharum,1196.109876,80.7,71,
McGilvra Woods,2019,2378,Acer saccharum,1703.251532,55.9,76.7,
